1.15.0.52124
s(184334)/i(202254),	-- Bracers of Redirection
s(184335)/i(202256),	-- Privateer's Ornate Pistol
s(189607)/i(208194),	--
s(189612)/i(208222),	-- Old Guard Retaliator
s(189729)/i(208413),	--
s(189733)/i(208422),	--
s(189735)/i(208424),	--
s(189773)/i(208483),	--
s(189774)/i(208484),	-- Sunlight
s(190111)/i(208740),	--
s(190117)/i(208774),	--
s(191033)/i(209842),	--
s(194481)/i(211925),	--
1.15.0.52409
s(195197)/i(213087),	-- Sergeant's Cloak
s(195198)/i(213088),	-- Sergeant's Cloak
1.15.1.53009
s(194901)/i(212566),	--
s(195166)/i(212994),	-- Stormchaser's Bindings
s(195167)/i(212996),	-- Lightningcaller's Bindings
s(195168)/i(212997),	-- Tidecaller's Bindings
s(195296)/i(213391),	-- UNUSED Electrified Mithril Gauntlets
s(196747)/i(215112),	-- UNUSED - Cloak of Arcane Insulation
s(196748)/i(215113),	-- UNUSED - Razor-Lined Shoulderpads
s(196751)/i(215116),	-- UNUSED - Hyperconductive Speed Belt
s(196778)/i(215450),	-- Tabard Project (Aidan)
s(198599)/i(216494),	-- Aragriar's Whimsical World Warper
1.15.2.53941
s(198741)/i(216891),	--
s(200650)/i(218083),	-- Tail of Eranikus
s(218465)/i(219945),	--
s(218798)/i(220794),	-- Knight's Plate Hauberk
s(218799)/i(220795),	-- Knight-Lieutenant's Plate Pauldrons
s(218800)/i(220796),	-- Blood Guard's Plate Pauldrons
s(218801)/i(220797),	-- Knight's Plate Leggings
s(218802)/i(220798),	-- Stone Guard's Plate Leggings
s(218803)/i(220799),	-- Sergeant Major's Plate Greaves
s(218804)/i(220800),	-- First Sergeant's Plate Greaves
s(218805)/i(220801),	-- Stone Guard's Plate Armor
s(218807)/i(220803),	-- Blood Guard's Plate Helm
s(218808)/i(220804),	-- Knight-Lieutenant's Plate Helm
s(218810)/i(220806),	-- Sergeant Major's Plate Gauntlets
s(218811)/i(220807),	-- First Sergeant's Plate Gauntlets
s(218812)/i(220808),	-- Knight-Lieutenant's Imbued Pauldrons
s(218813)/i(220809),	-- Knight's Imbued Leggings
s(218814)/i(220810),	-- Knight-Lieutenant's Imbued Helmet
s(218815)/i(220811),	-- Sergeant Major's Imbued Greaves
s(218816)/i(220812),	-- Sergeant Major's Imbued Gauntlets
s(218817)/i(220813),	-- Knight's Imbued Armor
s(218818)/i(220814),	-- Sergeant Major's Lamellar Boots
s(218819)/i(220815),	-- Knight's Lamellar Chestplate
s(218820)/i(220816),	-- Knight's Lamellar Legplates
s(218821)/i(220817),	-- Sergeant Major's Lamellar Gauntlets
s(218822)/i(220818),	-- Knight-Lieutenant's Lamellar Pauldrons
s(218823)/i(220819),	-- Knight-Lieutenant's Lamellar Helm
s(218824)/i(220820),	-- Blood Guard's Mail Helmet
s(218825)/i(220821),	-- Blood Guard's Chain Helmet
s(218826)/i(220822),	-- Knight-Lieutenant's Chain Helmet
s(218827)/i(220823),	-- Blood Guard's Mail Epaulets
s(218828)/i(220824),	-- Blood Guard's Chain Epaulets
s(218829)/i(220825),	-- Knight-Lieutenant's Chain Epaulets
s(218830)/i(220826),	-- Stone Guard's Mail Armor
s(218831)/i(220827),	-- Stone Guard's Chain Armor
s(218832)/i(220828),	-- Knight's Chain Armor
s(218833)/i(220829),	-- Sergeant Major's Chain Gauntlets
s(218834)/i(220830),	-- First Sergeant's Chain Gauntlets
s(218835)/i(220831),	-- First Sergeant's Mail Gauntlets
s(218836)/i(220832),	-- Knight's Chain Legplates
s(218837)/i(220833),	-- Stone Guard's Chain Legplates
s(218838)/i(220834),	-- Stone Guard's Mail Legplates
s(218839)/i(220835),	-- First Sergeant's Mail Sabatons
s(218840)/i(220836),	-- First Sergeant's Chain Sabatons
s(218841)/i(220837),	-- Sergeant Major's Chain Sabatons
s(218842)/i(220838),	-- Stone Guard's Inscribed Chestpiece
s(218843)/i(220839),	-- Stone Guard's Inscribed Legplates
s(218844)/i(220840),	-- First Sergeant's Inscribed Sabatons
s(218845)/i(220841),	-- Blood Guard's Inscribed Shoulder Pads
s(218846)/i(220842),	-- Blood Guard's Inscribed Skullcap
